HSTM SF Record,Subject,Trainer Comments
5004V000011UtbhQAC,Historical Trainer Comments,"abaqis Refresher for New Management: 11/21/18 - 2pm-4pm CT (Paula):  Pam Herman (Director of Clinical Operations) and Richard (Ricky) Turley (Assistant Administrator) where on the LOT today. Pam previously received abaqis training but needed a refresher so she can teach Ricky. Ricky has not used abaqis before. I verified he has a User set-up. Per Pam, Ricky will be the abaqis manager. Pam said they were most interested in knowing what they needed to do to achieve QAPI Accreditation. They have met 2 of the 4 standards so far. I reviewed what was needed to meet the other 2 standards: 5 RI, FI, SI, RO, CR in Q4 and 7 of the Facility Tasks (Sufficient Nursing and Inf Control tasks already completed, and 2 care area investigations completed). They were excited about the prospect of achieving Basic Accreditation by the end of Q4. I created a new sample for them per Pam's request and briefly reviewed the assessments. Pam said she is familiar with the assessments and the importance of comments. I demonstrated how to access the SBCA report and recommended they review it weekly. I demonstrated how to set-up Notifications and Scheduled Reports. A facility task snapshot and purposeful investigation snapshot was created per Pam's request. Pam said she is comfortable with generating a QAPI snapshot when they finish their sample. Pam and Ricky have access to the videos and plan to continue learning about abaqis through hands-on practice and watching the videos. No request for further LOTs at this time. 12/26 2pm CT abaqis Call scheduled with Ricky: following up the New Management Refresher Response to:  We have been doing the random interviews and facility tasks and that is going well, but I need to see if I can get some help in figuring out the next step and how to pull all the info together Completed training on f/u abaqis with Pam and Ricky- Monica- Reviewed how to edit current assessments. We adjusted some of the assessments before creating the new QAPI snapshot. Reviewed SBCA report. We locked the current sample and created the new snapshot. Reviewed unnecessary med; nutrition investigations including utilizing the CE pathway throughout the investigation. They had already completed 8 tasks with some identified areas in which they were already putting resolution in place. They are using the QAPI immediate action plan forms for a lot of their identified areas. They are extremely motivated to gain basic accreditation. We reviewed that again and reviewed where they can locate and print it off. They are in a rush to reach accreditation for this year; so they can go back to continuous abaqis usage. They both showed good understanding."
5004V000011UtbiQAC,Historical Trainer Comments,"12/7 abaqis Implementation and Training Resources Discussion (60 minutes) Mark is new to the facility as of August. The previous abaqis manager received a training waiver but only created a QAPI Plan and completed a PIP in the 9 months of having abaqis. 32-34 ADC, mostly post-acute residents. Wants to do quarterly with a sample of 32;30; all assessments to be entered directly into abaqis Focusing on QAPI assessments right now. Reviewed SBCA report of assessments Mark entered after watching Session 1. Pointed out lack of comments and explained prioritized care areas. Mark had Facility Admin permissions so we added QA Admin permissions to his profile so he could generate samples and snapshots. Provided instruction for how to add users and how users will set their passwords using the Having Trouble Logging In? link. Reviewed the Implementation tab (Assignment Guidelines and how to use the Team Worksheet); Worked through the Cycle Worksheet, Created a sample based on the Cycle Worksheet, Used the Checklist to illustrate how to review the Census Sample residents, referring to the Cycle Worksheet for the number of residents to select, illustrated how to use the Resident Assignment Worksheet and refer to the Team Worksheet to make assignments. Jumped into the abaqis Training Platform as Mark is already configured and already watched Session 1. We reviewed Session 1 Additional Reference to be printed off and provided to training attendees. Reviewed the modules of Session 1 and how to begin. Mark asked if someone could be available after the 90-minute training to answer questions. I told him I am happy to be there at the beginning or at the end. I asked him to let me know when the training will be held. I also pointed out that he may want to schedule a Reports review and Q&A session a week after they go through the online training Session 1. Mark said he has plans to go through Session 1 again over the weekend and now realizes that he needs to get together with the DON to talk about the team since more people need to be involved than he first thought."
5004V000011UtbjQAC,Historical Trainer Comments,"11/27 Session: QAPI Assessments and PAC Assessments training during QA Meeting: Sebrena Attendee distribution includes: Remy Johnson and Medline Rep, Daniel Hanley RJohnson@sbnhdc.org; dhanley@medline.com Reviewed the PAC assessments and the hospital readmission rates report.  Explained the difference between basic and advanced PAC.They voiced currently using another piece of software to collect hospital readmission data, but liked what our software had to offer. They asked really good questions. They also voiced that they only had 10 minutes left and preferred that I cover the QAPI assessments in the time remaining rather than the remaining PAC reports. Reviewed the resident interview and staff interview assessments, but that was all I was able to review with them in such a short period of time. Informed them to contact client support should they have additional training needs. "
5004V000011UtbzQAC,Historical Trainer Comments,07/29/20- Needs review was scheduled with facility no show. Sent email to reschedule. 07/30/20- Needs review rescheduled per Kenneth for 07/31/20 at 1PM PT.  07/30/20- Needs review completed. Sent over dates for 1st training session over Navagation. Facility request end of month. 
5004V000011Utc0QAC,Historical Trainer Comments,"Session 1 (8/7/20 - Kayla Harwell): Facility Assessment training completed. There were 9 staff members logged onto the training with an additional 4 call-ins. I'm not sure if these were additional staff or just the audio for the present staff. Everyone was on their own computers. These staff included: David (NHA), Evelyne (DON), Lorraine Krug (Dir of SS), Marianne Paterno (Medical Records), Reineen Dohman (unknown), Korie Rego (unknown - krego@job-haines.org), Nicole (unknown - smiller@job-haines.org), Carmen Pego (Admissions/Case management), and Devon Groce (ADON). I passed along Paula's apologies for not being able to conduct this training herself and let them know she had a family emergency. I asked Dave if he had done anything with the FA since he spoke with Paula. He said he went in there and did a few things, but it still needed worked on and other departments needed to do things. I showed Dave how to add additional participants to the workflow. I then took them to the task list and explained this is where they will go to work on the FA/edit it. I then walked through each section of the FA and explained how to complete it. Dave explained they had just done a hazards risk assessment and wanted to upload that to the FA. I showed him where to upload the documents and how to do it. I encouraged them to mark each section as complete after they have completed each of the sections and I showed them how to do this. I showed them the available resources within the FA, how to access the Resident population profile, as well as viewing the activity log. I showed them how to download and print the FA - from both the 'task' section and 'analyze' section. I explained the 'print for survey' button. There weren't any questions throughout the training, except a couple from Dave. No one else spoke. Dave said the training was very helpful. He wasn't feeling well when he spoke with Paula before so this was a good refresher and was also helpful since the layout of the FA has changed. I encouraged him to reach out to Paula if any questions arose."
5004V000011Utc2QAC,Historical Trainer Comments,"IS #1 6/18/19 : Attendees - Angie Keebaugh, Infection Preventionist; Marsha Sheppard, QA Nurse. Reviewed Corporate and Facility level PIPs and provided feedback on RCA, Measures and Interventions. Reviewed Meeting Minute Notes. Angie asked if there was a data limit for the amount of text they can enter. They are in their survey window so we looked at the Facility Assessment to confirm it was up to date and reviewed how and when to Duplicate it. Reviewed the QAPI Self-Assessment modules: per Angie, they had completed 2 QAPI Self-Assessments in the past but they are no longer showing up. Angie would like to know if there is a way to recoup these. Lastly, we looked at the Market Analysis Map and reviewed the VB incentive payment rate (1.13%) and what it means. Angie would like ESE turned on. Cassandra (Administrator) and Angie will be responsible for the surveys."
5004V000011UtcmQAC,Historical Trainer Comments,Session 1 with Sondra Showels and Marie Wester. See needs review for details. This was a demo not a training. Do not send evaluation.
5004V000011UtcXQAS,Historical Trainer Comments,"Session 1 with Debra Pritzman and Stephanie Wanner, They love abaqis. I demoed the Mock Survey, COVID-19 and CoreQ workflows, they want both activated. They will make a decision in the future about ESE. They stated their main focus in survey prep since they have already received their COVID-19 focused survey. We discussed their implementation barrier of repeat residents with a quarterly cycle, I showed them how to prioritize unassessed residents when creating a random sample. We also discussed a new implementation plan. They are going to conduct a mock survey once per year and then 1-2 QAPI samples per year. "
5004V000011UtdbQAC,Historical Trainer Comments,"IS #1 03/31/20: Attendee - Sandra Miles, Director of Long-term care. Sandra informed me they have an active COVID19 resident just return from the hospital. They surveyors came to her facility last week and went through a questionnaire with her but not the COVID 19 survey (probable because it was before the survey was available). I showed Sandra the survey link in abaqis and emailed it to her directly. We started the training by reviewing the COVID19 Survey/self-assessment. I also provided the following abaqis training: 1. Assisted with duplicating her FA and adding COVID 19 to the All-Risk Hazard section; demonstrated how to print FA for internal and survey  2. Reviewed Facility and QAPI Reports and discussed how to use data for QA purposes and PIP topics 3. Instructed on how to create a new QAPI Sample and access assessments 4. Reviewed Dental PIP and provided suggestions for adding Measurements and Interventions Sandra asked for another webinar in 3 weeks to continue with training - date set for 4/21/20 at 11AM PT  "
5004V000011UtdcQAC,Historical Trainer Comments,"TG- Session #1 6/9/20 with Marcia Mitchell and Sandra Truman (corp. nurse). We walked through the new dashboard, review some of their QAPI reports and I showed them the scheduled reports. Marcia stated that Eloise forgot to include her in the Training Platform and Sandra stated it would be good if they both were added with the others. I will put in a RIS for those. Marcia would like a chance to view the modules and will review reports and will then let me know if and when she is ready for another live training. She has also got some guidance from Emme. I will continue regular reach outs. "
5004V000011UtddQAC,Historical Trainer Comments,"Session 1 (10/31/19) -   Training completed w/16 staff members from the various homes in their company. I requested they write their names and facility in the chat box. The following staff were present based on the chat box: Brooke Hargett and Jarred Pearson ? RoseCrest; Tan McMillian, DON Franke; Elizabeth Johnson, DON Rice Estate; Christina Burns, RN Franke; Melissa Yetter, Executive Director Rose Crest; Lisa Alley, RN Staff Development; Roshane Harris, Rose Crest; Lawanis Raper, DON Rosecrest; Amy Baldwin, Rosecrest; Timika Hayes-Williams, Support Office; Caesy Robinson, Support Office; April Hampton, Support Office; Tonya Earl, Rice Estate; Daniel Amodio, Executive Director, Rice Estate; Laurie Russell. We first discussed the MDS 3.0 report and MDS indicator rates report. We discussed how to run them and how to interpret them. We talked about the Facility Assessment. Discussed how to complete it and how to do the annual review with the ?duplicate? button. We discussed PIPs and how to create those and update them. We then discussed PAC assessments and PAC reports. April wanted me to explain how to navigate the snapshot, so I showed them how to navigate. We finished by discussing accreditation. I showed them the accreditation report in abaqis and how to monitor which areas they are meeting. I then showed them the resources for accreditation on the website. April requested that I send those documents via email to her. They only had 1 hour for my training. April informed me of this about 20 minutes into the training, as she didn?t want me to explain things so much. There weren?t many questions throughout the webinar. April appreciated my time and appreciated me being so thorough. She thought it was very helpful. I provided everyone my contact information. April will be in touch if they need anything. Session 2 (3/4/20): Training completed with Gretchen. She's new to the corporate office, so she needed to become familiar with abaqis. She is the new Regional MDS. She said she had looked at abaqis a bit, but didn't do much. She initiially called into the webinar because she was having difficulties getting in. We continued to try to get in, but gave up after 15 minutes. She logged into abaqis and then I helped her navigate. I did a general overview of abaqis. We discussed the various functions/features of abaqis. I explained how Lutheran Homes utilized the program. She seemed interested in possibly getting the facilities to utilize PAC. I explained all the reports available in abaiqs without clicking into each of them. I then explained the corporate reports in detail. I also took her to the help and training resources link and explained the various tabs. I showed her where she could go to monitor the MDS uploads. She didn't have many questions throughout, but all questions answered. We discussed the training platform and she would like to get set up with that. I expressed that she could reach out at any time if she had any questions. She appreciated my time and explaining the program."
5004V000011UtdeQAC,Historical Trainer Comments,"Session #1-TG-6/25/20 Attendees: Mary Lynch QA, Linda Brown MDS, Jeanne Swartzwelder MDS. Today we went over new features including the dashboard, Covid 19 and concept of workflows and how to create them, work in them and analyze them. I also showed her where to find some of the newer reports and PIP's. Mary will get in and play around to see if she needs any more assistance. She felt pretty comfortable with how to find things now. She will start with core-q and ese and see how that goes. She will look around and see if she wants to start using the PIP's (she thought she would). She would like me to reach out every 2 months or sooner if there are changes she needs to be aware of. She will also reach out if she needs anything before then. "
5004V000011UtdfQAC,Historical Trainer Comments,"Session #1-TG-2/6/20 Attendees: Juan, Angela, Jaime and Sandy. Today we covered the new dashboard and features as well as PIP's, immediate action plan and root cause. They have cleaned up the MDS and users and have created a sample that they have started on. They would like the next session to be on snapshots. and they will work on the sample until then.We have scheduled that for 3/2/20 at 11 am eastern.  Session #2-TG-3/17/20-Attendees: Angela and Sandy. Today we discussed their progress with qapi assessments which is approximately 60% completed. We reviewed the three different types of snapshots. Angela did not want to create any type of snapshot today. She stated they are completely tied up with ensuring residents are cared for and they have all systems and protocols in place for Covid-19. She doubted if they could afford to have the staff carry on with doing qapi assessments. Her goal is to complete those, but feels that will be greatly slowed down d/t the activity that is occurring with the virus. We discussed our next steps. She stated I could check in the middle of April to see where things are with Covid-19 and how it is affecting their facility. I will set a task for the middle of April and check back in to see if they are at a point to move forward with more training or to assist with helping them create a snapshot.  "
5004V000011UtdgQAC,Historical Trainer Comments,"Session #1-TG-9/22/20 with Poppy-DON, Houbre-Compliance Officer and Madeline Rice-QA Nurse. We did a review of their FA and copying previous FA's into a new one. Answered some questions they had regarding the FA. We also reviewed the Customer Satisfaction Report and where the information came from on the RI/FI. They previously used Pinnacle and don't anymore. I sent Madeline the Core-Q information but they feel it is going to best to utilize our Customer Satisfaction Report for what they need. **Madeline and Houbre will need set up on all modules of the training platform. Madeline may identify others and she will send those names our way. They will watch videos on their own time and we will incorporate live webinars as needed for guidance. "
5004V000011UtdhQAC,Historical Trainer Comments,"Session #1-TG with just Brandy. She stated nobody else would be joining because things were too busy. She was late to the call and I called the facility and she said she was going to join. I did a high level overview because it has been awhile since she has used abaqis. She stated she thought it would be best at the current time to get help with the MDS, be activated on the training platform and then in 3 weeks she would like me to reach out and see if she is ready to schedule a live webinar for the QAPI tools. She stated right now they are not at a point to do the survey readiness piece since the staff are so busy with Covid activity. She stated they would not be able to join any training sessions, so she can learn abaqis and then she would train them. I told her at any point they could be activated on the training platform if she thought that would be helpful. I will set a task to follow up with her. Please set Brandy Grindstaff on all modules of the training platform and notify her. "
5004V000011UtdiQAC,Historical Trainer Comments,"Session #1 8/4/20-TG-Today we did a review of the QAPI Plan. See Attendee List Session #2 8/11/20-TG-Today we reviewed scheduled reports, some of the corporate reports, Cust. sat. reports, abaqis utilization reports. Review of locations of reports and how to find them on the various screens. Terri encouraged them to access them and if they have further questions we can do specifics. Angie wanted a high level overview of the reports available to them. Referred them to help documents to help with report content. Heavier focus on corporate reports and customer satisfaction since they have not been using at the facility level. They are no further training needs at this time, unless Angie hears back from them on another specific topic. I will continue to reach out. See Attendance List for today's participants. "
5004V000011UtdMQAS,Historical Trainer Comments,Session 1 was to cover accrediation and how to acheive advanced with smaller sample sizes
5004V000011UtdoQAC,Historical Trainer Comments,"Session #1-3/19/20-TG-Michelle Brague and Tammy-DON. Today's session was to review some reports to answer questions they had from their original training. We reviewed SBCA, Ftag report, Customer Satisfaction. Michelle had some questions on the FA and adding info into it regarding Covid-19 that was discussed. She also inquired about ESE and Core-Q. After review she is not interested in Core-Q since they are not a member of AHCA and she would like to do ESE at some point, but right now they can't take it on, due to Covid-19. They will continue on with abaqis at this point and hope they have no active cases of Covid-19 in their home, if that should occur she stated they would probably back off of abaqis, except for keeping the FA and QAPI plan up to date with any changes. They cancelled the training for tomorrow and rescheduled for 4/7/20, if that changes she will let me know. I will set a task for a reminder.  Session #2-8/4/20-TG with Michelle and Tammy was just a review of their live site focusing on their FA and QAPI Plan. Michelle had asked that I review them and we did a quick go to meeting to go over some areas that were in need of updates. Examples: dates, changing staff who were listed and no longer there, areas that were left blank, like Adverse Events, addressing areas that had pre-populated text from the templates that they never made unique to their facility and reviewing with them again how to create a new FA and copying the old to get new MDS data in the Resident Population area. They will go in to update both. Michelle also mentioned that they have 3 dietary staff who traveled to Philadelphia which is a hot spot and returned to work and tested positive. They have test all staff and residents again and are awaiting results. Michelle stated it has been quite hectic because they tested everyone 2 weeks ago and again yesterday. She stated the paperwork and effort going into keeping residents and staff safe has been very time consuming. She stated abaqis utilization would remain on hold, with the exception of updating the QAPI Plan and FA. They will reach out if needed and I have a task set to check in on a routine basis."
